4,4,8,2,4,7,8,12,48,15,14,15,13,14,13,14,15,13,15,16,13,15,14,15,11,0,0,11,0,0,0,25,1,0,12,0,0,0,0,9,48,25,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,13,8,
16,12,15,14,12,18,13,16,14,17,48,14,14,16,14,14,13,13,12,13,17,17,15,14,12,0,0,13,1,25,5,0,0,0,0,0,0,0,5,48,0,5,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,8,
6,8,0,5,6,10,7,44,16,16,16,12,13,12,14,15,14,12,13,16,14,14,15,14,12,0,0,14,0,0,33,0,0,18,0,0,1,30,11,0,0,3,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,18,
16,7,12,6,20,44,14,25,15,19,14,18,14,14,14,13,12,16,15,14,14,13,14,15,14,0,0,13,1,0,33,0,1,0,0,15,0,0,2,1,12,2,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,11,6,
1,14,6,39,8,3,12,12,13,47,15,13,12,14,14,15,15,14,13,15,16,13,14,13,7,0,0,13,0,0,0,11,0,0,16,0,0,17,0,9,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,
13,17,1,17,15,12,7,9,16,48,16,14,18,15,13,13,17,15,14,13,16,14,13,14,0,0,0,8,1,0,23,2,0,0,0,0,6,0,1,48,5,5,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,3,6,16,
14,12,13,5,14,10,15,39,14,17,14,15,13,47,14,13,14,14,14,16,13,14,13,15,0,0,0,13,0,0,0,28,0,0,0,1,0,16,12,1,48,0,2,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,9,5,10,
2,6,5,4,7,14,19,13,12,16,16,48,14,14,14,14,16,14,16,15,14,15,14,14,14,0,0,15,0,3,34,0,0,0,0,7,0,48,7,0,1,1,3,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,3,6,
8,0,4,3,5,9,9,13,35,16,15,13,14,14,12,15,14,13,12,14,16,16,12,14,11,0,0,9,1,19,0,1,0,12,0,0,19,27,2,5,7,48,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,8,11,
5,5,1,6,8,8,48,11,13,23,14,14,14,11,12,12,12,14,14,14,15,13,13,12,0,0,0,14,0,0,0,11,0,0,13,0,0,0,7,47,2,4,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,7,
4,5,12,5,7,11,14,11,11,15,14,16,13,14,15,14,14,16,17,16,14,17,16,14,0,0,0,10,1,32,0,1,0,17,0,0,0,0,11,0,1,48,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,9,4,
5,7,3,3,9,6,10,14,14,48,14,15,15,14,14,15,15,14,16,15,16,16,16,16,0,0,0,12,0,23,0,0,0,0,16,0,0,7,14,1,48,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,6,5,
5,6,1,5,3,45,10,8,14,14,13,48,14,14,14,16,16,14,16,17,16,14,16,16,10,0,0,12,1,0,0,0,0,30,0,0,0,1,25,48,0,1,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,5,11,3,
5,11,2,8,13,13,8,47,14,14,14,13,12,14,12,14,15,12,16,14,16,15,16,14,11,0,0,13,0,1,0,0,15,0,20,0,16,0,0,0,9,7,48,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,8,
4,10,1,5,14,12,10,11,48,14,16,14,14,15,14,13,13,15,17,17,16,13,16,15,12,0,0,16,0,0,35,0,0,0,17,0,26,0,21,48,2,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,10,
7,5,5,4,9,13,9,47,13,15,15,14,14,15,14,14,16,14,15,15,14,16,15,36,12,0,0,18,1,27,1,0,0,0,18,0,0,21,27,0,48,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,14,
11,1,3,16,17,17,46,14,14,14,14,48,14,12,12,13,13,15,14,13,16,14,15,14,13,0,1,12,2,23,0,1,20,0,0,0,27,0,3,6,48,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,12,9,
17,13,4,12,5,23,13,12,12,15,48,12,15,13,14,12,14,14,13,15,14,12,14,15,12,0,0,16,0,0,1,0,17,0,0,0,0,16,3,48,7,5,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,11,11,
4,15,0,3,9,8,12,45,11,16,13,16,13,14,13,16,14,15,14,17,15,15,15,16,0,0,0,9,1,18,0,0,21,0,0,16,0,14,1,0,11,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,12,
6,12,4,6,13,7,7,12,48,15,14,11,12,16,14,12,13,15,14,14,14,15,14,14,0,0,0,12,0,0,0,1,0,19,0,0,0,28,7,48,3,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,12,
7,4,1,8,13,10,15,47,12,15,14,14,14,15,14,14,13,15,14,16,15,15,15,12,0,0,0,12,0,26,0,1,0,0,0,14,0,3,18,1,10,48,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,11,12,
5,6,4,9,6,9,10,12,10,15,14,14,15,14,12,15,16,15,14,15,15,16,15,16,0,0,0,16,0,24,0,0,0,0,0,19,0,19,10,48,5,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,4,3,
3,3,5,1,7,15,14,46,13,15,14,16,13,14,14,14,14,15,15,15,15,15,15,16,0,0,0,13,0,2,0,0,8,0,0,9,0,1,14,1,5,48,9,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,12,7,
4,7,1,7,21,7,9,12,14,13,13,12,14,14,15,14,15,16,13,14,14,16,15,15,0,0,0,14,0,30,1,0,0,0,19,0,27,0,8,48,2,39,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,11,
8,1,2,7,12,12,10,37,12,14,14,14,14,15,14,15,13,14,14,14,15,16,15,15,11,0,0,15,0,0,0,19,0,0,0,0,17,5,48,2,6,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,11,9,
